{'timestamp': '1980-01-06 00:00:23.703944', 'Physical Cell ID': 296, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 13}
{'timestamp': '2021-11-29 22:31:56.660002', 'Physical Cell ID': 296, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 857}
{'timestamp': '2021-11-29 22:33:22.985017', 'Physical Cell ID': 296, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 987}
{'timestamp': '2021-11-29 22:33:29.468948', 'Physical Cell ID': 296, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 1290}
{'timestamp': '2021-11-29 22:33:33.546276', 'Physical Cell ID': 296, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 1357}
{'timestamp': '2021-11-29 22:33:39.589000', 'Physical Cell ID': 296, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 1577}
{'timestamp': '2021-11-29 22:33:55.372901', 'Physical Cell ID': 296, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 1628}
{'timestamp': '2021-11-29 22:34:00.174012', 'Physical Cell ID': 296, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 1784}
{'timestamp': '2021-11-29 22:34:46.984083', 'Physical Cell ID': 296, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 1844}
{'timestamp': '2021-11-29 22:34:52.480026', 'Physical Cell ID': 296, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 2039}
{'timestamp': '2021-11-29 22:35:59.623048', 'Physical Cell ID': 430, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 2151}
{'timestamp': '2021-11-29 22:36:04.197879', 'Physical Cell ID': 430, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 2299}
{'timestamp': '2021-11-29 22:36:39.209033', 'Physical Cell ID': 27, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 2369}
{'timestamp': '2021-11-29 22:36:44.323958', 'Physical Cell ID': 27, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 2569}
{'timestamp': '2021-11-29 22:37:13.325003', 'Physical Cell ID': 85, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 2634}
{'timestamp': '2021-11-29 22:37:18.015021', 'Physical Cell ID': 85, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 2787}
{'timestamp': '2021-11-29 22:37:34.640018', 'Physical Cell ID': 85, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 2825}
{'timestamp': '2021-11-29 22:37:39.390010', 'Physical Cell ID': 85, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 2984}
{'timestamp': '2021-11-29 22:38:06.346819', 'Physical Cell ID': 254, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 3048}
{'timestamp': '2021-11-29 22:38:11.373969', 'Physical Cell ID': 254, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 3254}
{'timestamp': '2021-11-29 22:38:27.307887', 'Physical Cell ID': 360, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 3303}
{'timestamp': '2021-11-29 22:38:31.848940', 'Physical Cell ID': 360, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 3447}
{'timestamp': '2021-11-29 22:39:00.795759', 'Physical Cell ID': 360, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 3495}
{'timestamp': '2021-11-29 22:39:05.527900', 'Physical Cell ID': 360, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 3645}
{'timestamp': '2021-11-29 22:39:53.800922', 'Physical Cell ID': 40, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 3733}
{'timestamp': '2021-11-29 22:40:00.508973', 'Physical Cell ID': 40, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 3979}
{'timestamp': '2021-11-29 22:40:26.600004', 'Physical Cell ID': 338, 'msg_type': 'c1: rrcConnectionSetupComplete (4)', 'index': 4045}
{'timestamp': '2021-11-29 22:40:32.059010', 'Physical Cell ID': 338, 'msg_type': 'c1: rrcConnectionRelease (5)', 'index': 4266}
